Student_ID,Gender,Age,Marital_Status,Faculty,Academic_Level,Residence_Type,CGPA,Guardian_Employment_Status,Guardian_Monthly_Income,Other_Income,Loan_Amount_Requested,Loan_Term_Months,Guarantor_Availability,Loan_Status
UI/2019/1000,Male,17,Single,Agriculture and Forestry,500,Off Campus,3.08,Self-Employed,71000,0,261678.0,36.0,Yes,Rejected
UI/2020/1001,Female,19,Single,Pharmacy,300,Off Campus,4.05,Employed,53000,24500,158027.0,48.0,No,Rejected
UI/2021/1002,Male,21,Single,Education,200,Off Campus,2.16,Self-Employed,247000,28000,141413.0,24.0,Yes,Rejected
UI/2022/1003,Male,24,Single,Science,100,Off Campus,3.36,Employed,61000,11500,116961.0,36.0,,Approved
UI/2023/1004,Female,24,Married,Social Sciences,400,School Hostel,2.64,Self-Employed,69000,0,231857.0,24.0,No,Rejected
UI/2024/1005,Female,21,Married,Pharmacy,200,Off Campus,3.31,Employed,38000,38500,146878.0,24.0,Yes,Approved
UI/2019/1006,Male,21,Single,Arts,300,School Hostel,4.02,Employed,45000,16500,172009.0,48.0,Yes,Approved
UI/2020/1007,Male,20,Married,Law,100,Off Campus,3.2,Employed,98000,0,85352.0,60.0,Yes,Approved
UI/2021/1008,Female,22,Single,Education,300,Off Campus,3.63,Self-Employed,103000,19500,178436.0,36.0,Yes,Approved
UI/2022/1009,Male,21,Single,Technology,200,Off Campus,3.09,Employed,69000,4500,119956.0,24.0,Yes,Approved
UI/2023/1010,Female,23,Single,Social Sciences,400,Off Campus,4.62,Self-Employed,51000,0,201504.0,24.0,No,Approved
UI/2024/1011,Male,26,Single,Social Sciences,300,School Hostel,4.05,Employed,100000,0,193827.0,48.0,No,Approved
UI/2019/1012,Female,21,Single,Science,400,Off Campus,4.17,Self-Employed,29000,0,206205.0,36.0,Yes,Rejected
UI/2020/1013,Male,18,Single,Technology,200,Off Campus,,Unemployed,19000,0,166504.0,24.0,Yes,Rejected
UI/2021/1014,Male,20,Single,Technology,100,School Hostel,2.94,Employed,60000,0,78606.0,48.0,Yes,Approved
UI/2022/1015,Male,18,Single,Clinical Sciences,400,School Hostel,4.14,Employed,43000,0,226218.0,36.0,Yes,Rejected
UI/2023/1016,Female,19,Single,Veterinary Medicine,500,School Hostel,3.44,Self-Employed,82000,15000,242427.0,36.0,Yes,Approved
UI/2024/1017,Female,25,Single,Education,300,Off Campus,3.41,Self-Employed,52000,16500,182422.0,48.0,Yes,Rejected
UI/2019/1018,Male,22,Single,Agriculture and Forestry,500,School Hostel,3.73,Self-Employed,48000,0,244379.0,48.0,Yes,Rejected
UI/2020/1019,Male,18,Single,Veterinary Medicine,400,School Hostel,2.86,Employed,185000,0,220435.0,12.0,Yes,Rejected
UI/2021/1020,Female,23,Single,Science,300,School Hostel,3.98,Self-Employed,113000,0,177509.0,60.0,,Approved
UI/2022/1021,Female,24,Single,Science,200,Off Campus,3.56,Employed,133000,18500,133122.0,36.0,Yes,Approved
UI/2023/1022,Male,21,Single,Agriculture and Forestry,200,School Hostel,3.81,Employed,71000,0,147433.0,24.0,Yes,Approved
UI/2024/1023,Female,20,Single,Arts,300,Off Campus,3.18,Self-Employed,128000,0,202246.0,48.0,Yes,Approved
UI/2019/1024,Male,21,Single,Arts,100,Off Campus,3.83,Employed,106000,46000,91045.0,36.0,Yes,Approved
UI/2020/1025,Female,22,Single,Clinical Sciences,200,Off Campus,3.16,Employed,134000,0,152968.0,36.0,No,Rejected
UI/2021/1026,Male,23,Single,Technology,300,Off Campus,4.07,Employed,254000,14000,181085.0,48.0,Yes,Approved
UI/2022/1027,Female,24,Single,Pharmacy,100,Off Campus,4.17,Employed,61000,0,99381.0,24.0,Yes,Approved
UI/2023/1028,Female,24,Single,Agriculture and Forestry,200,Off Campus,4.05,Employed,80000,0,172407.0,60.0,Yes,Approved
UI/2024/1029,Female,24,Single,Clinical Sciences,200,School Hostel,,Self-Employed,74000,0,107580.0,36.0,No,Rejected
UI/2019/1030,Male,25,Single,Technology,300,School Hostel,3.9,Employed,15000,20000,169713.0,12.0,Yes,Rejected
